code,name,type,company,location,latitude,longitude,status
15-1,15场上机,场桥,武汉钢铁集团物流,15#货场,30.668645700328746,114.46801051497457,working
M5,特种车辆 M5,门式起重机,武汉钢铁集团物流,M5#泊位,30.67236113700807,114.46777313947675,working
7-1,7码头上机,门式起重机,武汉钢铁集团物流,码头区域,30.670258316598964,114.46108639240263,working
5场新,5场新车辆,场桥,武汉钢铁集团物流,5#货场,30.67106113700807,114.467561,working
M3,特种车辆 M3,门式起重机,武汉钢铁集团物流,M3#泊位,30.6721339008044,114.4669510424137,standby
港五下,港五下机,门式起重机,武汉钢铁集团物流,港五泊位,30.672846751671877,114.46915179491042,working
3-1,3库1号,桥式起重机,武汉钢铁集团物流,仓库区域,30.67042672847688,114.46640923619269,working
2-2,2库2号,桥式起重机,武汉钢铁集团物流,仓库区域,30.66968271488208,114.46630060672756,standby
2-1,2库1号,桥式起重机,武汉钢铁集团物流,仓库区域,30.670321759464148,114.46608737111089,working
M2,特种车辆 M2,门式起重机,武汉钢铁集团物流,M2#泊位,30.671934347758334,114.466285854578,standby
4场,4号货场50T,场桥,武汉钢铁集团物流,4#货场,30.670069141262708,114.46721121668814,working
8-2,8码头2号车,门式起重机,武汉钢铁集团物流,码头区域,30.670965413813633,114.46276143193242,working
14场,14场50T,场桥,武汉钢铁集团物流,14#货场,30.669248992685553,114.46836456656453,standby
M4,特种车辆M4,门式起重机,武汉钢铁集团物流,M4#泊位,30.67229077458588,114.46747004985806,working
9-5,9码头5号车,门式起重机,武汉钢铁集团物流,码头区域,30.66841614832792,114.46469664573667,working
5场旧,5场旧车辆,场桥,武汉钢铁集团物流,5#货场,30.670241,114.467861,standby
13场,13场,场桥,武汉钢铁集团物流,13#货场,30.66870106957396,114.46683302521706,working
10-1,10号货场1号车,场桥,武汉钢铁集团物流,10#货场,30.66839307774491,114.46419641375542,standby
10-2,10号货场2号车,场桥,武汉钢铁集团物流,10#货场,30.669629653228522,114.46377664804457,standby
港五上,港五上机,门式起重机,武汉钢铁集团物流,港五泊位,30.672754473538824,114.4688057899475,working
7-2,7码头下机,门式起重机,武汉钢铁集团物流,码头区域,30.670403658373953,114.46149945259093,working
6场新,6场新车辆,场桥,武汉钢铁集团物流,6#货场,30.670845,114.468213,standby
21库,21库自动行车,桥式起重机,武汉钢铁集团物流,仓库区域,30.666805808406693,114.46682631969449,working
9-3,9码头3号车,门式起重机,武汉钢铁集团物流,码头区域,30.669648109459136,114.4642862677574,working
9-6,9码头6号车,门式起重机,武汉钢铁集团物流,码头区域,30.668236197634357,114.46517944335935,working
8-1,8码头1号车,门式起重机,武汉钢铁集团物流,码头区域,30.67083622188675,114.46242883801459,working
9-1,9码头1号车,门式起重机,武汉钢铁集团物流,码头区域,30.67062513113446,114.46391209959981,working
9-2,9码头2号车,门式起重机,武汉钢铁集团物流,码头区域,30.67074740233682,114.46432113647458,standby
3-2,3库2号,桥式起重机,武汉钢铁集团物流,仓库区域,30.66982344347425,114.46660503745076,standby
9-4,9码头4号车,门式起重机,武汉钢铁集团物流,码头区域,30.669685021909807,114.46468725800513,working
6场旧,6场旧车辆,场桥,武汉钢铁集团物流,6#货场,30.67236113700807,114.46777313947675,standby
22场,22场,场桥,武汉钢铁集团物流,22#货场,30.66608137739748,114.46650043129918,standby
